Date,Metric Name,Value,Unit,Target
2024-03-01,Monthly Revenue,9500000,INR,10000000
2024-03-01,Monthly Expenses,6255000,INR,6000000
2024-03-01,Net Income,3245000,INR,4000000
2024-03-01,Burn Rate,6255000,INR,6000000
2024-03-01,Runway,18,Months,24
2024-03-01,MRR,9500000,INR,10000000
2024-03-01,ARR,114000000,INR,120000000
2024-03-01,Headcount,45,Count,50
2024-03-01,Revenue Per Employee,211111,INR,200000
2024-03-01,Gross Margin,65,Percent,70
2024-03-01,Customer Acquisition Cost,125000,INR,100000
2024-03-01,Customer Lifetime Value,2500000,INR,2000000
